species_original,species_clean,tree_label,display_PCx_oriented,display_PCy_oriented,mahalanobis_d2_to_projected_root_uncertainty,inside_50_projected_root_ellipse,inside_80_projected_root_ellipse,inside_95_projected_root_ellipse,closest_projected_root_ellipse_level
Tangara vassorii,tangara vassorii,tangara_vassorii,-0.13381765014333558,-0.24067881722911302,0.05976886582035927,TRUE,TRUE,TRUE,50%
Pogonotriccus eximius,pogonotriccus eximius,pogonotriccus_eximius,-0.24443094500668697,-0.09812830498680632,0.061858374178225636,TRUE,TRUE,TRUE,50%
Vanellus spinosus,vanellus spinosus,vanellus_spinosus,-0.27058770763234624,-0.4298103047937547,0.061921184949989966,TRUE,TRUE,TRUE,50%
Heliangelus regalis,heliangelus regalis,heliangelus_regalis,-0.4535724323642931,-0.4120754521790696,0.06206076866632238,TRUE,TRUE,TRUE,50%
Guttera pucherani,guttera pucherani,guttera_pucherani,-0.14781197695628426,-0.17616260107806322,0.06219914783036464,TRUE,TRUE,TRUE,50%
Hylopezus ochroleucus,hylopezus ochroleucus,hylopezus_ochroleucus,-0.1314586039639251,-0.27399023145646045,0.06234303438500803,TRUE,TRUE,TRUE,50%
Caprimulgus donaldsoni,caprimulgus donaldsoni,caprimulgus_donaldsoni,-0.3137093900222806,-0.4425167026318222,0.06333949395429993,TRUE,TRUE,TRUE,50%
Gymnoris pyrgita,gymnoris pyrgita,gymnoris_pyrgita,-0.35470479722483866,-0.44500135113264233,0.06354779602612283,TRUE,TRUE,TRUE,50%
Ciconia maguari,ciconia maguari,ciconia_maguari,-0.5270004757868044,-0.29657078115854973,0.06380364363758674,TRUE,TRUE,TRUE,50%
Tinamus solitarius,tinamus solitarius,tinamus_solitarius,-0.27442886548164463,-0.08737069012007327,0.06415698899335977,TRUE,TRUE,TRUE,50%
Campylorhamphus falcularius,campylorhamphus falcularius,campylorhamphus_falcularius,-0.45325228713897475,-0.13515282546417548,0.06449131201633006,TRUE,TRUE,TRUE,50%
Otus senegalensis,otus senegalensis,otus_senegalensis,-0.13472662380178685,-0.30662535614641095,0.06562194204724746,TRUE,TRUE,TRUE,50%
Platyrinchus leucoryphus,platyrinchus leucoryphus,platyrinchus_leucoryphus,-0.3381735531859672,-0.08441656125313086,0.06573459420636384,TRUE,TRUE,TRUE,50%
Lagonosticta senegala,lagonosticta senegala,lagonosticta_senegala,-0.12701265201149117,-0.279201646572211,0.06576505339993413,TRUE,TRUE,TRUE,50%
