x,y,level,level_probability
-2.5269806815524785,-3.2734014924078605,80%,0.8
-2.4661390116456605,-3.3284921004534413,80%,0.8
-2.4043671593596123,-3.38222301615571,80%,0.8
-2.3416924014053553,-3.434570513454879,80%,0.8
-2.2781424131916346,-3.485511477169785,80%,0.8
-2.2137452566042404,-3.535023413204896,80%,0.8
-2.148529367614668,-3.583084458483078,80%,0.8
-2.082523543723595,-3.6296733905997085,80%,0.8
-2.0157569312447086,-3.674769637193899,80%,0.8
-1.948259012434523,-3.7183532850326637,80%,0.8
-1.8800595924738421,-3.760405088804047,80%,0.8
-1.8111887863066285,-3.8009064796153083,80%,0.8
-1.7416770053420931,-3.8398395731924277,80%,0.8
-1.6715549440258726,-3.877187177777292,80%,0.8
-1.60085356628623,-3.9129328017190956,80%,0.8
-1.5296040918612468,-3.9470606607565863,80%,0.8
-1.4578379825130765,-3.97955568498795,80%,0.8
-1.3855869281353077,-4.01040352552526,80%,0.8
-1.3128828327596045,-4.039590560830536,80%,0.8
-1.2397578004677805,-4.067103902730637,80%,0.8
-1.1662441212155419,-4.09293140210831,80%,0.8
-1.0923742565741525,-4.117061654266905,80%,0.8
-1.018180825396318,-4.139484003966364,80%,0.8
-0.9436965894126123,-4.160188550128273,80%,0.8
-0.868954438764831,-4.179166150207905,80%,0.8
-0.7939873774826224,-4.196408424231305,80%,0.8
-0.7188285089098407,-4.211907758495655,80%,0.8
-0.6435110210870381,-4.225657308931266,80%,0.8
-0.5680681720965641,-4.237651004123734,80%,0.8
-0.492533275376731,-4.247883547994896,80%,0.8
-0.4169396850115333,-4.2563504221414385,80%,0.8
-0.3413207810024314,-4.263047887830089,80%,0.8
-0.2657099545286767,-4.267972987648541,80%,0.8
-0.19014059320270835,-4.271123546811362,80%,0.8
-0.11464606632712318,-4.27249817412032,80%,0.8
-0.039259710159732675,-4.272096262578687,80%,0.8
0.03598518680679308,-4.269917989659291,80%,0.8
0.11105539854418217,-4.265964317226129,80%,0.8
0.18591777616024685,-4.260236991109649,80%,0.8
0.2605392625364926,-4.252738540335833,80%,0.8
0.3348869069252163,-4.2434722760094505,80%,0.8
0.4089278794996273,-4.232442289851975,80%,0.8
0.4826294858505753,-4.219653452394786,80%,0.8
0.5559591814234804,-4.205111410828483,80%,0.8
